Hz,Gain
653.7037037,-1.693674555
654.6296296,-1.729914974
655.5555556,-1.764394527
656.4814815,-1.798088241
657.4074074,-1.832525423
658.3333333,-1.867579089
659.2592593,-1.904989434
660.1851852,-1.944492476
661.1111111,-1.987067848
662.037037,-2.028775619
662.962963,-2.061934353
663.8888889,-2.083382042
664.8148148,-2.094903651
665.7407407,-2.099281531
666.6666667,-2.099575194
667.5925926,-2.097035996
668.5185185,-2.092126079
669.4444444,-2.081144202
670.3703704,-2.06191863
671.2962963,-2.040253602
672.2222222,-2.022144816
673.1481481,-2.005591415
674.0740741,-1.987661774
675,-1.968791861
675.9259259,-1.949841744
676.8518519,-1.93099717
677.7777778,-1.913341439
678.7037037,-1.897050104
679.6296296,-1.881732061
680.5555556,-1.867452127
681.4814815,-1.855278446
682.4074074,-1.845584021
683.3333333,-1.837081628
684.2592593,-1.831432244
685.1851852,-1.828764667
686.1111111,-1.827835628
687.037037,-1.825111212
687.962963,-1.823270666
688.8888889,-1.825341625
689.8148148,-1.828183834
690.7407407,-1.830277234
691.6666667,-1.830374455
692.5925926,-1.828711596
693.5185185,-1.824934449
694.4444444,-1.81752985
695.3703704,-1.807277008
696.2962963,-1.794124568
697.2222222,-1.777558279
698.1481481,-1.757925988
699.0740741,-1.735502755
700,-1.711355078
700.9259259,-1.685116119
701.8518519,-1.656162986
702.7777778,-1.624464116
703.7037037,-1.590367177
704.6296296,-1.554063735
705.5555556,-1.514375834
706.4814815,-1.472303875
707.4074074,-1.428841032
708.3333333,-1.383741742
709.2592593,-1.336113491
710.1851852,-1.286102311
711.1111111,-1.234041524
712.037037,-1.179988798
712.962963,-1.124090651
713.8888889,-1.066751239
714.8148148,-1.008937204
715.7407407,-0.9512825
716.6666667,-0.893507281
717.5925926,-0.836089964
718.5185185,-0.777718734
719.4444444,-0.719332907
720.3703704,-0.662063249
721.2962963,-0.605058942
722.2222222,-0.549177846
723.1481481,-0.493870635
724.0740741,-0.438802977
725,-0.384215952
725.9259259,-0.330103054
726.8518519,-0.275959718
727.7777778,-0.222026533
728.7037037,-0.167641872
729.6296296,-0.113921783
730.5555556,-0.060360573
731.4814815,-0.005968998
732.4074074,0.047905834
733.3333333,0.101147604
734.2592593,0.154551995
735.1851852,0.207924602
736.1111111,0.261373075
737.037037,0.315262139
737.962963,0.369788318
738.8888889,0.423842531
739.8148148,0.476897521
740.7407407,0.529634596
741.6666667,0.582466401
742.5925926,0.633756643
743.5185185,0.683281417
744.4444444,0.730748365
